"team","specific_team","_col2"
"Engineering","Talent Trainings",2
"Engineering","Internal Tools",2
"Product","Internal Tools",1
"Engineering","Data&Integration",1
"Product","Payroll Professionals",6
"Marketing","Brand Studio",4
"Engineering","Payroll Integrations",1
"Marketing","Marketing US",1
"Engineering","Talent Engagement",4
"Sales","Strategy",1
"Product","ATS",1
"Product","People Performance",1
"CX","cx",2
"Product","People Engagement",1
"Product","API & Marketplace",3
"Product","CIAM",1
"Engineering","Backoffice",3
"People","People Ops",13
"Finance","Accounting Specialist",5
"Product","VP",1
"Operations","Sales Ops",1
"Product","Core",1
"Marketing","product marketing",8
"Product","People Talent",1
"CX","IT Support",8
"Brand","Videomaker",1
"Design","Time",3
"CX","Data Analytics",4
"Design","Growth",1
"Engineering","Finance Accounting",2
"Engineering","People",3
"Product","Product enablement",3
"Engineering","Operations",1
"Finance","Purchasing",1
"Sales","SDR Manager",2
"Product","People Recruitment",2
"Engineering","Data Analytics",2
"Finance","Procurement Specialist",3
"Design","Core Analytics",1
"CX","CX Ops",1
"People","IT Support",5
"Finance","Finance",20
"Product","Payroll Outputs",1
"Product","Payroll Core",7
"Engineering","Financial Insights",1
"Marketing","Customer Marketing",8
"Operations","Business Ops",2
"Engineering","Compensations",2
"Operations","Sales Operations",10
"Engineering","Time Tracking",6
"CX","",2
"Sales","Sales Manager",9
"Engineering","Core Documents",2
"Product","Talent Foundations",1
"CX","Tech Support",7
"People","Data",2
"Design","Talent Development",1
"Design","People Trainings",1
"Design","Payroll Core",2
"People","People Engagement",4
"Product","People Training",1
"Product","Core Customization",1
"Channel","Other Partners",2
"Engineering","Payroll Updates",2
"People","Office",5
"Design","CIAM",1
"Operations","General ",1
"Engineering","Platform Infra",8
"Engineering","Finance Cards",2
"Product","Experience Mobile",2
"Engineering","Payroll Professionals",1
"Product Services","Performance",26
"Channel","Account Executives",3
"Product","Foundations",1
"Finance","Accounts Payable",1
"IT","Account Executives",6
"Engineering","People Training",3
"Sales","SDR Team Lead",20
"Product","People Trainings",3
"Engineering","Security",8
"Product","People Domain",7
"Engineering","People Recruitment",2
"Marketing","SEO",5
"Engineering","Talent Recruitment",8
"Design","Finance",7
"Engineering","Foundations",3
"Product","Backoffice",1
"Partnerships","Account Executives",1
"CX","Sales Tender",1
"Product","",4
"Sales","Sales Market Research",51
"Engineering","People Performance",6
"Engineering","Core Processes",2
"Engineering","Time Project Management",2
"Growth","Growth Marketing",4
"CX","Product success",1
"CX","Country PE",6
"Finance","Finance Accounting",4
"Product","Core integrations",1
"CX","Long Tail",7
"CX","Quality",2
"Product","Benefits",1
"Marketing","Marketing",26
"Finance","Collection Specialist",3
"Product","Time Management",1
"Marketing","Performance Marketing",3
"Product","Talent Engagement",4
"Product Services","Finance",2
"Product Services","Multiproduct",8
"Product","IT management",2
"Product","AI Analytics",1
"Engineering","Time Space",1
"Design","Time foundations",2
"Design","Payroll Cycle",2
"Engineering","DX",2
"Engineering","Contracts",1
"IT","SDR",6
"Marketing","Inbound Marketing Manager",8
"Marketing","Paid Media",8
"Marketing","Inbound Marketing",68
"Product","Product Ops",4
"Engineering","Core integrations",1
"Product","Country Product Manager",1
"Product Services","Expenses",17
"Marketing","Marketing Germany",6
"Marketing","Marketing PT",1
"Data","Data Platform",1
"Strategy","Account Managers",1
"Engineering","Camila",1
"Engineering","People Engagement",2
"Product","Finance Expenses",2
"CX","CX",1
"Product","Data",2
"Sales","Inbound Account Executive",6
"Product","Growth",4
"Product","Talent Recruitment",1
"People","",1
"Marketing","Inbound Marketing Director",3
"Engineering","People Organisation",1
"CX","Enterprise",55
"Product","People Employees",3
"Engineering","Payroll Data Integration",2
"Engineering","Core Identity",9
"Finance","Legal",7
"Product","Financial Insights",2
"CX","Data",2
"Product","Finance",10
"Product","Finance Accounting",2
"Product Services","Comando",19
"Engineering","Organization",2
"Sales","SDR XL",8
"Strategy","Staff",1
"Product","Core Identity",3
"CX","Customer Support",84
"Sales","Sales Inbound",11
"Engineering","Experience Web",2
"Engineering","Finance Expenses",1
"Product","UX Designer",5
